name,M,read_total,read_unique,read_entropy,read_local_entropy,read_footprint90,write_total,write_unique,write_entropy,write_local_entropy,write_footprint90
557.xz_r,10,46289,11972,10.886634,5.704332,7344,15025,3810,9.241249,3.216729,2308
619.lbm_s,10,74082,15740,11.206509,6.099152,8332,23469,4662,9.185847,3.200021,2316
621.wrf_s,10,109564,21243,11.558567,6.455502,10287,35766,7524,9.814318,3.745727,3948
500.perlbench_r,10,266871,40049,11.346571,5.802995,14330,155054,24155,9.888074,3.326563,8650
523.xalancbmk_r,10,774115,137869,11.662026,6.322663,60458,354711,24486,8.858206,2.900544,759
502.gcc_r,10,2228442,129958,10.859965,5.934157,8226,1461603,300670,11.328328,5.299124,154510
520.omnetpp_r,10,13925024,342407,11.641718,6.420503,14370,7372393,251461,10.406114,3.875118,5584
649.fotonik3d_s,10,18930676,165914,7.965900,3.876134,269,11718123,58765,7.867986,2.907547,236
648.exchange2_s,10,17649915,87505,9.618866,3.674586,972,8810885,71174,9.161584,3.987362,3578
505.mcf_r,10,19032168,105210,6.782321,3.279535,114,12648158,425731,6.992183,2.784760,104
531.deepsjeng_r,10,537382,126629,11.718873,6.221663,72891,45636229,22949360,24.413654,19.403587,20444283
541.leela_r,10,299293881,134307,6.707371,2.303261,84,123012803,2114765,5.854171,0.773779,45
