name,M,read_total,read_unique,read_entropy,read_local_entropy,read_footprint90,write_total,write_unique,write_entropy,write_local_entropy,write_footprint90
541.leela_r,10,6125170,9558,7.244344,4.752807,235,283843,39482,12.699537,9.207856,24873
531.deepsjeng_r,10,360548,8499,10.019351,7.522002,3549,45471303,11436781,23.435869,19.437540,10208113
520.omnetpp_r,10,7792171,45423,10.681149,8.511209,5220,1605259,38733,11.101967,8.683582,13040
648.exchange2_s,10,8469961,18974,6.562042,3.708193,61,2709345,16203,7.899339,5.361650,2855
505.mcf_r,10,4889091,71661,5.612055,4.376743,31,1185684,78968,8.870073,6.993784,51434
523.xalancbmk_r,10,474047,10097,10.115880,7.746890,3654,55197,5159,9.157999,6.782648,2146
500.perlbench_r,10,154577,5460,9.600810,7.103618,1724,41767,4897,11.056110,7.701036,2604
502.gcc_r,10,1204727,25219,9.751370,7.892919,3673,490287,39979,13.355151,10.193130,21254
557.xz_r,10,30488,1530,8.841027,5.884247,787,4204,595,8.499916,5.275064,403
619.lbm_s,10,47641,2111,9.168320,6.430632,985,5583,758,8.595364,5.524402,496
621.wrf_s,10,71467,3034,9.479853,6.867661,1356,8937,1498,9.661010,6.581772,913
649.fotonik3d_s,10,8115570,10273,5.956931,4.470442,66,2618588,12876,5.374424,3.689097,27
